"Match.ID","Overs","Season","Runs.over","Extra.runs.over","Extras.over","Wickets.over","Home.Ground","Ground","Bowlername","Wickets.ever","Runs.ever","Extras.ever","Extras.Runs.ever","b1name","b2name","b3name","b4name","b5name","b1f","b2f","b3f","b4f","b5f","b1sr","b2sr","b3sr","b4sr","b5sr","bosr","ber","Team.Final.Score"
"1082591",1,"2017",7,3,2,0,"1","Rajiv Gandhi International Stadium, Uppal","TS Mills",0,7,2,3,"DA Warner","S Dhawan","Not available","Not available","Not available",5,2,NA,NA,NA,136.82,121.95,NA,NA,NA,17,7.88,207
"1082591",2,"2017",16,1,1,1,"1","Rajiv Gandhi International Stadium, Uppal","A Choudhary",1,23,3,4,"DA Warner","MC Henriques","S Dhawan","Not available","Not available",4,2,1,NA,NA,136.82,130.59,121.95,NA,NA,17.33,9,207
"1082591",3,"2017",6,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","TS Mills",1,29,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",4,2,NA,NA,NA,130.59,121.95,NA,NA,NA,17,7.88,207
"1082591",4,"2017",4,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","YS Chahal",1,33,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",3,3,NA,NA,NA,130.59,121.95,NA,NA,NA,17.46,8.05,207
"1082591",5,"2017",9,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","S Aravind",1,42,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",4,2,NA,NA,NA,130.59,121.95,NA,NA,NA,18.3,8.57,207
"1082591",6,"2017",17,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","SR Watson",1,59,3,4,"S Dhawan","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,121.95,NA,NA,NA,NA,18.43,7.9,207
"1082591",7,"2017",5,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","YS Chahal",1,64,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",3,3,NA,NA,NA,130.59,121.95,NA,NA,NA,17.46,8.05,207
"1082591",8,"2017",11,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","TM Head",1,75,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",3,3,NA,NA,NA,130.59,121.95,NA,NA,NA,Inf,11,207
"1082591",9,"2017",9,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","YS Chahal",1,84,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",3,3,NA,NA,NA,130.59,121.95,NA,NA,NA,17.46,8.05,207
"1082591",10,"2017",4,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","A Choudhary",1,88,3,4,"MC Henriques","S Dhawan","Not available","Not available","Not available",2,4,NA,NA,NA,130.59,121.95,NA,NA,NA,17.33,9,207
"1082591",11,"2017",10,0,0,1,"1","Rajiv Gandhi International Stadium, Uppal","STR Binny",2,98,3,4,"MC Henriques","S Dhawan","Yuvraj Singh","Not available","Not available",2,2,2,NA,NA,130.59,121.95,135.07,NA,NA,20.57,6.65,207
"1082591",12,"2017",8,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","S Aravind",2,106,3,4,"MC Henriques","Yuvraj Singh","Not available","Not available","Not available",2,4,NA,NA,NA,130.59,135.07,NA,NA,NA,18.3,8.57,207
"1082591",13,"2017",18,1,1,0,"1","Rajiv Gandhi International Stadium, Uppal","A Choudhary",2,124,4,5,"Yuvraj Singh","Not available","Not available","Not available","Not available",7,NA,NA,NA,NA,135.07,NA,NA,NA,NA,17.33,9,207
"1082591",14,"2017",8,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","SR Watson",2,132,4,5,"MC Henriques","Yuvraj Singh","Not available","Not available","Not available",3,3,NA,NA,NA,130.59,135.07,NA,NA,NA,18.43,7.9,207
"1082591",15,"2017",19,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","S Aravind",2,151,4,5,"MC Henriques","Yuvraj Singh","Not available","Not available","Not available",4,2,NA,NA,NA,130.59,135.07,NA,NA,NA,18.3,8.57,207
"1082591",16,"2017",4,0,0,1,"1","Rajiv Gandhi International Stadium, Uppal","YS Chahal",3,155,4,5,"DJ Hooda","MC Henriques","Yuvraj Singh","Not available","Not available",2,2,2,NA,NA,132.06,130.59,135.07,NA,NA,17.46,8.05,207
"1082591",17,"2017",7,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","TS Mills",3,162,4,5,"DJ Hooda","Yuvraj Singh","Not available","Not available","Not available",3,3,NA,NA,NA,132.06,135.07,NA,NA,NA,17,7.88,207
"1082591",18,"2017",17,2,2,0,"1","Rajiv Gandhi International Stadium, Uppal","A Choudhary",3,179,6,7,"DJ Hooda","Yuvraj Singh","Not available","Not available","Not available",4,4,NA,NA,NA,132.06,135.07,NA,NA,NA,17.33,9,207
"1082591",19,"2017",12,0,0,1,"1","Rajiv Gandhi International Stadium, Uppal","TS Mills",4,191,6,7,"BCJ Cutting","DJ Hooda","Yuvraj Singh","Not available","Not available",1,2,3,NA,NA,197.62,132.06,135.07,NA,NA,17,7.88,207
"1082591",20,"2017",16,0,0,0,"1","Rajiv Gandhi International Stadium, Uppal","SR Watson",4,207,6,7,"BCJ Cutting","DJ Hooda","Not available","Not available","Not available",5,1,NA,NA,NA,197.62,132.06,NA,NA,NA,18.43,7.9,207
"1082592",1,"2017",11,1,1,0,"0","Maharashtra Cricket Association Stadium","AB Dinda",0,11,1,1,"JC Buttler","PA Patel","Not available","Not available","Not available",1,6,NA,NA,NA,126.43,114.43,NA,NA,NA,20.11,8.4,184
"1082592",2,"2017",8,0,0,0,"0","Maharashtra Cricket Association Stadium","DL Chahar",0,19,1,1,"JC Buttler","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,126.43,NA,NA,NA,NA,65,9.9,184
"1082592",3,"2017",9,0,0,0,"0","Maharashtra Cricket Association Stadium","AB Dinda",0,28,1,1,"PA Patel","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,114.43,NA,NA,NA,NA,20.11,8.4,184
"1082592",4,"2017",13,0,0,0,"0","Maharashtra Cricket Association Stadium","BA Stokes",0,41,1,1,"JC Buttler","PA Patel","Not available","Not available","Not available",5,1,NA,NA,NA,126.43,114.43,NA,NA,NA,25.83,8.16,184
"1082592",5,"2017",7,0,0,1,"0","Maharashtra Cricket Association Stadium","Imran Tahir",1,48,1,1,"JC Buttler","PA Patel","RG Sharma","Not available","Not available",1,2,3,NA,NA,126.43,114.43,135.7,NA,NA,12.69,8.91,184
"1082592",6,"2017",13,0,0,0,"0","Maharashtra Cricket Association Stadium","DL Chahar",1,61,1,1,"JC Buttler","RG Sharma","Not available","Not available","Not available",5,1,NA,NA,NA,126.43,135.7,NA,NA,NA,65,9.9,184
"1082592",7,"2017",2,0,0,2,"0","Maharashtra Cricket Association Stadium","Imran Tahir",3,63,1,1,"AT Rayudu","JC Buttler","N Rana","RG Sharma","Not available",1,1,1,3,NA,126.43,126.43,124.79,135.7,NA,12.69,8.91,184
"1082592",8,"2017",3,0,0,0,"0","Maharashtra Cricket Association Stadium","BA Stokes",3,66,1,1,"AT Rayudu","N Rana","Not available","Not available","Not available",3,3,NA,NA,NA,126.43,124.79,NA,NA,NA,25.83,8.16,184
"1082592",9,"2017",10,0,0,0,"0","Maharashtra Cricket Association Stadium","A Zampa",3,76,1,1,"AT Rayudu","N Rana","Not available","Not available","Not available",2,4,NA,NA,NA,126.43,124.79,NA,NA,NA,11.06,7.32,184
"1082592",10,"2017",6,0,0,0,"0","Maharashtra Cricket Association Stadium","R Bhatia",3,82,1,1,"AT Rayudu","N Rana","Not available","Not available","Not available",3,3,NA,NA,NA,126.43,124.79,NA,NA,NA,18.28,6.79,184
"1082592",11,"2017",10,2,2,0,"0","Maharashtra Cricket Association Stadium","A Zampa",3,92,3,3,"AT Rayudu","N Rana","Not available","Not available","Not available",2,5,NA,NA,NA,126.43,124.79,NA,NA,NA,11.06,7.32,184
"1082592",12,"2017",3,0,0,1,"0","Maharashtra Cricket Association Stadium","R Bhatia",4,95,3,3,"AT Rayudu","KH Pandya","N Rana","Not available","Not available",1,2,3,NA,NA,126.43,155.06,124.79,NA,NA,18.28,6.79,184
"1082592",13,"2017",11,2,1,0,"0","Maharashtra Cricket Association Stadium","BA Stokes",4,106,4,5,"KH Pandya","N Rana","Not available","Not available","Not available",3,4,NA,NA,NA,155.06,124.79,NA,NA,NA,25.83,8.16,184
"1082592",14,"2017",5,0,0,1,"0","Maharashtra Cricket Association Stadium","R Bhatia",5,111,4,5,"KA Pollard","KH Pandya","N Rana","Not available","Not available",2,1,3,NA,NA,138.87,155.06,124.79,NA,NA,18.28,6.79,184
"1082592",15,"2017",9,0,0,0,"0","Maharashtra Cricket Association Stadium","Imran Tahir",5,120,4,5,"KA Pollard","N Rana","Not available","Not available","Not available",4,2,NA,NA,NA,138.87,124.79,NA,NA,NA,12.69,8.91,184
"1082592",16,"2017",7,0,0,1,"0","Maharashtra Cricket Association Stadium","A Zampa",6,127,4,5,"HH Pandya","KA Pollard","N Rana","Not available","Not available",2,3,1,NA,NA,124.86,138.87,124.79,NA,NA,11.06,7.32,184
"1082592",17,"2017",10,0,0,0,"0","Maharashtra Cricket Association Stadium","Imran Tahir",6,137,4,5,"HH Pandya","KA Pollard","Not available","Not available","Not available",2,4,NA,NA,NA,124.86,138.87,NA,NA,NA,12.69,8.91,184
"1082592",18,"2017",8,1,1,0,"0","Maharashtra Cricket Association Stadium","AB Dinda",6,145,5,6,"HH Pandya","KA Pollard","Not available","Not available","Not available",4,3,NA,NA,NA,124.86,138.87,NA,NA,NA,20.11,8.4,184
"1082592",19,"2017",9,0,0,1,"0","Maharashtra Cricket Association Stadium","BA Stokes",7,154,5,6,"HH Pandya","KA Pollard","TG Southee","Not available","Not available",2,1,3,NA,NA,124.86,138.87,183.33,NA,NA,25.83,8.16,184
"1082592",20,"2017",30,2,2,1,"0","Maharashtra Cricket Association Stadium","AB Dinda",8,184,7,8,"HH Pandya","Not available","Not available","Not available","Not available",7,NA,NA,NA,NA,124.86,NA,NA,NA,NA,20.11,8.4,184
"1082593",1,"2017",8,0,0,0,"1","Saurashtra Cricket Association Stadium","TA Boult",0,8,0,0,"JJ Roy","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,143.9,NA,NA,NA,NA,20.6,8.12,183
"1082593",2,"2017",8,1,1,0,"1","Saurashtra Cricket Association Stadium","PP Chawla",0,16,1,1,"BB McCullum","JJ Roy","Not available","Not available","Not available",2,5,NA,NA,NA,125.44,143.9,NA,NA,NA,20.72,7.95,183
"1082593",3,"2017",6,0,0,0,"1","Saurashtra Cricket Association Stadium","SP Narine",0,22,1,1,"BB McCullum","JJ Roy","Not available","Not available","Not available",5,1,NA,NA,NA,125.44,143.9,NA,NA,NA,18.1,6.87,183
"1082593",4,"2017",7,0,0,1,"1","Saurashtra Cricket Association Stadium","PP Chawla",1,29,1,1,"BB McCullum","JJ Roy","SK Raina","Not available","Not available",3,1,2,NA,NA,125.44,143.9,132.13,NA,NA,20.72,7.95,183
"1082593",5,"2017",11,0,0,0,"1","Saurashtra Cricket Association Stadium","SP Narine",1,40,1,1,"BB McCullum","SK Raina","Not available","Not available","Not available",5,1,NA,NA,NA,125.44,132.13,NA,NA,NA,18.1,6.87,183
"1082593",6,"2017",12,0,0,0,"1","Saurashtra Cricket Association Stadium","CR Woakes",1,52,1,1,"SK Raina","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,132.13,NA,NA,NA,NA,21.75,9.03,183
"1082593",7,"2017",12,0,0,0,"1","Saurashtra Cricket Association Stadium","Kuldeep Yadav",1,64,1,1,"BB McCullum","SK Raina","Not available","Not available","Not available",5,1,NA,NA,NA,125.44,132.13,NA,NA,NA,17.7,8.79,183
"1082593",8,"2017",8,1,1,0,"1","Saurashtra Cricket Association Stadium","CR Woakes",1,72,2,2,"BB McCullum","SK Raina","Not available","Not available","Not available",3,3,NA,NA,NA,125.44,132.13,NA,NA,NA,21.75,9.03,183
"1082593",9,"2017",4,0,0,1,"1","Saurashtra Cricket Association Stadium","Kuldeep Yadav",2,76,2,2,"AJ Finch","BB McCullum","SK Raina","Not available","Not available",3,1,2,NA,NA,123.54,125.44,132.13,NA,NA,17.7,8.79,183
"1082593",10,"2017",15,0,0,0,"1","Saurashtra Cricket Association Stadium","YK Pathan",2,91,2,2,"AJ Finch","SK Raina","Not available","Not available","Not available",4,2,NA,NA,NA,123.54,132.13,NA,NA,NA,23.43,7.28,183
"1082593",11,"2017",4,0,0,1,"1","Saurashtra Cricket Association Stadium","Kuldeep Yadav",3,95,2,2,"AJ Finch","KD Karthik","SK Raina","Not available","Not available",1,2,3,NA,NA,123.54,124.92,132.13,NA,NA,17.7,8.79,183
"1082593",12,"2017",7,0,0,0,"1","Saurashtra Cricket Association Stadium","TA Boult",3,102,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",1,5,NA,NA,NA,124.92,132.13,NA,NA,NA,20.6,8.12,183
"1082593",13,"2017",7,0,0,0,"1","Saurashtra Cricket Association Stadium","SP Narine",3,109,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",4,2,NA,NA,NA,124.92,132.13,NA,NA,NA,18.1,6.87,183
"1082593",14,"2017",7,0,0,0,"1","Saurashtra Cricket Association Stadium","PP Chawla",3,116,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",1,5,NA,NA,NA,124.92,132.13,NA,NA,NA,20.72,7.95,183
"1082593",15,"2017",9,0,0,0,"1","Saurashtra Cricket Association Stadium","SP Narine",3,125,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",3,3,NA,NA,NA,124.92,132.13,NA,NA,NA,18.1,6.87,183
"1082593",16,"2017",5,0,0,0,"1","Saurashtra Cricket Association Stadium","Kuldeep Yadav",3,130,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",1,5,NA,NA,NA,124.92,132.13,NA,NA,NA,17.7,8.79,183
"1082593",17,"2017",11,0,0,0,"1","Saurashtra Cricket Association Stadium","PP Chawla",3,141,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",3,3,NA,NA,NA,124.92,132.13,NA,NA,NA,20.72,7.95,183
"1082593",18,"2017",12,1,1,0,"1","Saurashtra Cricket Association Stadium","TA Boult",3,153,3,3,"KD Karthik","SK Raina","Not available","Not available","Not available",3,4,NA,NA,NA,124.92,132.13,NA,NA,NA,20.6,8.12,183
"1082593",19,"2017",16,0,0,0,"1","Saurashtra Cricket Association Stadium","CR Woakes",3,169,3,3,"KD Karthik","SK Raina","Not available","Not available","Not available",3,3,NA,NA,NA,124.92,132.13,NA,NA,NA,21.75,9.03,183
"1082593",20,"2017",14,1,1,1,"1","Saurashtra Cricket Association Stadium","TA Boult",4,183,4,4,"KD Karthik","SK Raina","Not available","Not available","Not available",4,2,NA,NA,NA,124.92,132.13,NA,NA,NA,20.6,8.12,183
"1082594",1,"2017",1,0,0,1,"0","Holkar Cricket Stadium","Sandeep Sharma",1,1,0,0,"AM Rahane","MA Agarwal","SPD Smith","Not available","Not available",1,4,1,NA,NA,121.21,111.14,136.44,NA,NA,15.44,7.68,163
"1082594",2,"2017",2,0,0,0,"0","Holkar Cricket Stadium","MM Sharma",1,3,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",2,4,NA,NA,NA,121.21,136.44,NA,NA,NA,15.98,8.32,163
"1082594",3,"2017",4,0,0,0,"0","Holkar Cricket Stadium","Sandeep Sharma",1,7,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",3,3,NA,NA,NA,121.21,136.44,NA,NA,NA,15.44,7.68,163
"1082594",4,"2017",13,0,0,0,"0","Holkar Cricket Stadium","MM Sharma",1,20,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",5,1,NA,NA,NA,121.21,136.44,NA,NA,NA,15.98,8.32,163
"1082594",5,"2017",12,0,0,0,"0","Holkar Cricket Stadium","Sandeep Sharma",1,32,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",2,4,NA,NA,NA,121.21,136.44,NA,NA,NA,15.44,7.68,163
"1082594",6,"2017",3,0,0,0,"0","Holkar Cricket Stadium","AR Patel",1,35,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",1,5,NA,NA,NA,121.21,136.44,NA,NA,NA,23.76,7.59,163
"1082594",7,"2017",7,0,0,1,"0","Holkar Cricket Stadium","T Natarajan",2,42,0,0,"AM Rahane","SPD Smith","Not available","Not available","Not available",1,5,NA,NA,NA,121.21,136.44,NA,NA,NA,38,7.67,163
"1082594",8,"2017",6,0,0,0,"0","Holkar Cricket Stadium","AR Patel",2,48,0,0,"BA Stokes","SPD Smith","Not available","Not available","Not available",3,3,NA,NA,NA,143.01,136.44,NA,NA,NA,23.76,7.59,163
"1082594",9,"2017",5,2,2,1,"0","Holkar Cricket Stadium","MP Stoinis",3,53,2,2,"BA Stokes","MS Dhoni","SPD Smith","Not available","Not available",2,4,2,NA,NA,143.01,134.06,136.44,NA,NA,20,8.62,163
"1082594",10,"2017",10,0,0,0,"0","Holkar Cricket Stadium","Swapnil Singh",3,63,2,2,"BA Stokes","MS Dhoni","Not available","Not available","Not available",3,3,NA,NA,NA,143.01,134.06,NA,NA,NA,30,8.6,163
"1082594",11,"2017",8,1,1,0,"0","Holkar Cricket Stadium","MP Stoinis",3,71,3,3,"BA Stokes","MS Dhoni","Not available","Not available","Not available",3,4,NA,NA,NA,143.01,134.06,NA,NA,NA,20,8.62,163
"1082594",12,"2017",4,0,0,1,"0","Holkar Cricket Stadium","Swapnil Singh",4,75,3,3,"BA Stokes","MK Tiwary","MS Dhoni","Not available","Not available",2,2,2,NA,NA,143.01,117.61,134.06,NA,NA,30,8.6,163
"1082594",13,"2017",9,0,0,0,"0","Holkar Cricket Stadium","T Natarajan",4,84,3,3,"BA Stokes","MK Tiwary","Not available","Not available","Not available",3,3,NA,NA,NA,143.01,117.61,NA,NA,NA,38,7.67,163
"1082594",14,"2017",14,0,0,0,"0","Holkar Cricket Stadium","AR Patel",4,98,3,3,"BA Stokes","MK Tiwary","Not available","Not available","Not available",4,2,NA,NA,NA,143.01,117.61,NA,NA,NA,23.76,7.59,163
"1082594",15,"2017",10,0,0,0,"0","Holkar Cricket Stadium","T Natarajan",4,108,3,3,"BA Stokes","MK Tiwary","Not available","Not available","Not available",2,4,NA,NA,NA,143.01,117.61,NA,NA,NA,38,7.67,163
"1082594",16,"2017",15,0,0,0,"0","Holkar Cricket Stadium","MP Stoinis",4,123,3,3,"BA Stokes","MK Tiwary","Not available","Not available","Not available",4,2,NA,NA,NA,143.01,117.61,NA,NA,NA,20,8.62,163
"1082594",17,"2017",5,0,0,0,"0","Holkar Cricket Stadium","MM Sharma",4,128,3,3,"BA Stokes","MK Tiwary","Not available","Not available","Not available",4,2,NA,NA,NA,143.01,117.61,NA,NA,NA,15.98,8.32,163
"1082594",18,"2017",5,3,3,1,"0","Holkar Cricket Stadium","AR Patel",5,133,6,6,"BA Stokes","DT Christian","MK Tiwary","Not available","Not available",4,2,2,NA,NA,143.01,116.54,117.61,NA,NA,23.76,7.59,163
"1082594",19,"2017",14,0,0,0,"0","Holkar Cricket Stadium","MM Sharma",5,147,6,6,"DT Christian","MK Tiwary","Not available","Not available","Not available",2,4,NA,NA,NA,116.54,117.61,NA,NA,NA,15.98,8.32,163
"1082594",20,"2017",16,0,0,1,"0","Holkar Cricket Stadium","Sandeep Sharma",6,163,6,6,"DT Christian","MK Tiwary","Not available","Not available","Not available",4,2,NA,NA,NA,116.54,117.61,NA,NA,NA,15.44,7.68,163
"1082595",1,"2017",10,0,0,0,"1","M Chinnaswamy Stadium","Z Khan",0,10,0,0,"CH Gayle","SR Watson","Not available","Not available","Not available",1,5,NA,NA,NA,149.7,130.87,NA,NA,NA,22.02,7.68,157
"1082595",2,"2017",9,1,1,0,"1","M Chinnaswamy Stadium","CH Morris",0,19,1,1,"CH Gayle","SR Watson","Not available","Not available","Not available",3,3,NA,NA,NA,149.7,130.87,NA,NA,NA,16.64,7.59,157
"1082595",3,"2017",7,1,1,0,"1","M Chinnaswamy Stadium","PJ Cummins",0,26,2,2,"CH Gayle","SR Watson","Not available","Not available","Not available",3,4,NA,NA,NA,149.7,130.87,NA,NA,NA,23,8.6,157
"1082595",4,"2017",4,0,0,1,"1","M Chinnaswamy Stadium","CH Morris",1,30,2,2,"CH Gayle","Mandeep Singh","Not available","Not available","Not available",2,4,NA,NA,NA,149.7,112.16,NA,NA,NA,16.64,7.59,157
"1082595",5,"2017",2,1,1,0,"1","M Chinnaswamy Stadium","S Nadeem",1,32,3,3,"Mandeep Singh","SR Watson","Not available","Not available","Not available",2,5,NA,NA,NA,112.16,130.87,NA,NA,NA,27.93,6.94,157
"1082595",6,"2017",9,0,0,1,"1","M Chinnaswamy Stadium","PJ Cummins",2,41,3,3,"KM Jadhav","Mandeep Singh","SR Watson","Not available","Not available",1,4,1,NA,NA,132.77,112.16,130.87,NA,NA,23,8.6,157
"1082595",7,"2017",4,0,0,0,"1","M Chinnaswamy Stadium","S Nadeem",2,45,3,3,"KM Jadhav","SR Watson","Not available","Not available","Not available",2,4,NA,NA,NA,132.77,130.87,NA,NA,NA,27.93,6.94,157
"1082595",8,"2017",8,0,0,0,"1","M Chinnaswamy Stadium","A Mishra",2,53,3,3,"KM Jadhav","SR Watson","Not available","Not available","Not available",5,1,NA,NA,NA,132.77,130.87,NA,NA,NA,22.52,7.42,157
"1082595",9,"2017",2,0,0,1,"1","M Chinnaswamy Stadium","S Nadeem",3,55,3,3,"KM Jadhav","SR Watson","STR Binny","Not available","Not available",2,2,2,NA,NA,132.77,130.87,130.87,NA,NA,27.93,6.94,157
"1082595",10,"2017",6,0,0,0,"1","M Chinnaswamy Stadium","Z Khan",3,61,3,3,"KM Jadhav","STR Binny","Not available","Not available","Not available",2,4,NA,NA,NA,132.77,130.87,NA,NA,NA,22.02,7.68,157
"1082595",11,"2017",5,0,0,0,"1","M Chinnaswamy Stadium","S Nadeem",3,66,3,3,"KM Jadhav","STR Binny","Not available","Not available","Not available",3,3,NA,NA,NA,132.77,130.87,NA,NA,NA,27.93,6.94,157
"1082595",12,"2017",8,1,1,0,"1","M Chinnaswamy Stadium","PJ Cummins",3,74,4,4,"KM Jadhav","STR Binny","Not available","Not available","Not available",2,4,NA,NA,NA,132.77,130.87,NA,NA,NA,23,8.6,157
"1082595",13,"2017",24,0,0,0,"1","M Chinnaswamy Stadium","A Mishra",3,98,4,4,"KM Jadhav","Not available","Not available","Not available","Not available",6,NA,NA,NA,NA,132.77,NA,NA,NA,NA,22.52,7.42,157
"1082595",14,"2017",16,1,1,0,"1","M Chinnaswamy Stadium","CR Brathwaite",3,114,5,5,"KM Jadhav","STR Binny","Not available","Not available","Not available",4,3,NA,NA,NA,132.77,130.87,NA,NA,NA,17.4,9.5,157
"1082595",15,"2017",7,1,1,1,"1","M Chinnaswamy Stadium","Z Khan",4,121,6,6,"KM Jadhav","STR Binny","Not available","Not available","Not available",4,3,NA,NA,NA,132.77,130.87,NA,NA,NA,22.02,7.68,157
"1082595",16,"2017",13,0,0,0,"1","M Chinnaswamy Stadium","CR Brathwaite",4,134,6,6,"KM Jadhav","Vishnu Vinod","Not available","Not available","Not available",4,2,NA,NA,NA,132.77,73.08,NA,NA,NA,17.4,9.5,157
"1082595",17,"2017",8,0,0,2,"1","M Chinnaswamy Stadium","Z Khan",6,142,6,6,"KM Jadhav","Vishnu Vinod","Not available","Not available","Not available",3,3,NA,NA,NA,132.77,73.08,NA,NA,NA,22.02,7.68,157
"1082595",18,"2017",2,0,0,0,"1","M Chinnaswamy Stadium","CH Morris",6,144,6,6,"Iqbal Abdulla","P Negi","Not available","Not available","Not available",3,3,NA,NA,NA,64.29,136.75,NA,NA,NA,16.64,7.59,157
"1082595",19,"2017",6,0,0,0,"1","M Chinnaswamy Stadium","PJ Cummins",6,150,6,6,"Iqbal Abdulla","P Negi","Not available","Not available","Not available",3,3,NA,NA,NA,64.29,136.75,NA,NA,NA,23,8.6,157
"1082595",20,"2017",7,0,0,2,"1","M Chinnaswamy Stadium","CH Morris",8,157,6,6,"Iqbal Abdulla","P Negi","TS Mills","Not available","Not available",1,2,3,NA,NA,64.29,136.75,0,NA,NA,16.64,7.59,157
"1082596",1,"2017",3,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","Bipul Sharma",0,3,0,0,"BB McCullum","JJ Roy","Not available","Not available","Not available",2,4,NA,NA,NA,125.44,143.9,NA,NA,NA,22.09,8.07,135
"1082596",2,"2017",10,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","B Kumar",0,13,0,0,"BB McCullum","JJ Roy","Not available","Not available","Not available",1,5,NA,NA,NA,125.44,143.9,NA,NA,NA,16.83,7.15,135
"1082596",3,"2017",12,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","Bipul Sharma",0,25,0,0,"BB McCullum","JJ Roy","Not available","Not available","Not available",1,5,NA,NA,NA,125.44,143.9,NA,NA,NA,22.09,8.07,135
"1082596",4,"2017",7,1,1,0,"0","Rajiv Gandhi International Stadium, Uppal","A Nehra",0,32,1,1,"BB McCullum","JJ Roy","Not available","Not available","Not available",2,4,NA,NA,NA,125.44,143.9,NA,NA,NA,14.51,7.74,135
"1082596",5,"2017",3,0,0,1,"0","Rajiv Gandhi International Stadium, Uppal","Rashid Khan",1,35,1,1,"BB McCullum","JJ Roy","SK Raina","Not available","Not available",4,1,1,NA,NA,125.44,143.9,132.13,NA,NA,13.33,6.15,135
"1082596",6,"2017",5,1,1,1,"0","Rajiv Gandhi International Stadium, Uppal","B Kumar",2,40,2,2,"AJ Finch","JJ Roy","SK Raina","Not available","Not available",3,2,1,NA,NA,123.54,143.9,132.13,NA,NA,16.83,7.15,135
"1082596",7,"2017",6,0,0,1,"0","Rajiv Gandhi International Stadium, Uppal","Rashid Khan",3,46,2,2,"AJ Finch","KD Karthik","SK Raina","Not available","Not available",2,2,2,NA,NA,123.54,124.92,132.13,NA,NA,13.33,6.15,135
"1082596",8,"2017",8,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","A Nehra",3,54,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",4,2,NA,NA,NA,124.92,132.13,NA,NA,NA,14.51,7.74,135
"1082596",9,"2017",3,0,0,1,"0","Rajiv Gandhi International Stadium, Uppal","Rashid Khan",4,57,2,2,"KD Karthik","SK Raina","Not available","Not available","Not available",4,2,NA,NA,NA,124.92,132.13,NA,NA,NA,13.33,6.15,135
"1082596",10,"2017",3,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","Bipul Sharma",4,60,2,2,"DR Smith","KD Karthik","Not available","Not available","Not available",3,3,NA,NA,NA,120.9,124.92,NA,NA,NA,22.09,8.07,135
"1082596",11,"2017",8,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","BCJ Cutting",4,68,2,2,"DR Smith","KD Karthik","Not available","Not available","Not available",4,2,NA,NA,NA,120.9,124.92,NA,NA,NA,22.67,9.18,135
"1082596",12,"2017",7,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","Rashid Khan",4,75,2,2,"DR Smith","KD Karthik","Not available","Not available","Not available",4,2,NA,NA,NA,120.9,124.92,NA,NA,NA,13.33,6.15,135
"1082596",13,"2017",12,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","MC Henriques",4,87,2,2,"DR Smith","KD Karthik","Not available","Not available","Not available",4,2,NA,NA,NA,120.9,124.92,NA,NA,NA,29.55,8.31,135
"1082596",14,"2017",9,0,0,0,"0","Rajiv Gandhi International Stadium, Uppal","A Nehra",4,96,2,2,"DR Smith","KD Karthik","Not available","Not available","Not available",4,2,NA,NA,NA,120.9,124.92,NA,NA,NA,14.51,7.74,135
